Iteration,RMSE,Time,method
2100,0.171118,1305,fsgd
2400,0.171144,1303,fsgd
2700,0.171028,1306,fsgd
2700,0.170981,1309,fsgd
2100,0.170939,1302,fsgd
1800,0.170845,1305,fsgd
2200,0.168585,1340,fsgd
2800,0.168361,1344,fsgd
2500,0.16832,1342,fsgd
2800,0.16819,1344,fsgd
1800,0.168144,1344,fsgd
1700,0.168181,1342,fsgd
2100,0.167987,1349,fsgd
2600,0.166496,1382,fsgd
2900,0.16631,1383,fsgd
2300,0.166207,1385,fsgd
2900,0.166,1388,fsgd
1900,0.165974,1388,fsgd
2200,0.165702,1387,fsgd
2200,0.165959,1384,fsgd
2000,0.163611,1424,fsgd
2400,0.163328,1429,fsgd
2700,0.163378,1427,fsgd
3000,0.163336,1428,fsgd
1800,0.163285,1426,fsgd
1900,0.163289,1428,fsgd
2200,0.16314,1429,fsgd
2500,0.161353,1464,fsgd
2300,0.16138,1462,fsgd
2800,0.161323,1464,fsgd
3000,0.161147,1471,fsgd
3100,0.161152,1470,fsgd
2300,0.161027,1472,fsgd
2000,0.160921,1475,fsgd
1900,0.160778,1472,fsgd
3200,0.159246,1511,fsgd
2600,0.159143,1512,fsgd
3100,0.158783,1521,fsgd
2100,0.158879,1516,fsgd
2400,0.158857,1518,fsgd
2400,0.158651,1518,fsgd
2300,0.158364,1524,fsgd
2900,0.15666,1557,fsgd
3200,0.156489,1562,fsgd
3300,0.156503,1562,fsgd
2000,0.15662,1555,fsgd
2100,0.15633,1555,fsgd
2700,0.154786,1593,fsgd
3000,0.154754,1597,fsgd
2500,0.154678,1593,fsgd
3300,0.154549,1600,fsgd
2400,0.154615,1593,fsgd
2200,0.154533,1594,fsgd
3100,0.152962,1634,fsgd
2800,0.152924,1634,fsgd
2200,0.152905,1634,fsgd
3400,0.152759,1640,fsgd
2500,0.152892,1634,fsgd
3400,0.152715,1643,fsgd
2600,0.152712,1640,fsgd
2500,0.152632,1644,fsgd
2300,0.152633,1645,fsgd
2900,0.151209,1686,fsgd
2700,0.151095,1690,fsgd
3500,0.15108,1690,fsgd
3200,0.151,1693,fsgd
2100,0.151345,1684,fsgd
3500,0.150979,1693,fsgd
2600,0.150832,1696,fsgd
2300,0.150744,1693,fsgd
3600,0.1496,1730,fsgd
2600,0.149561,1731,fsgd
2400,0.149365,1732,fsgd
3300,0.149332,1739,fsgd
3600,0.149337,1739,fsgd
2800,0.149365,1736,fsgd
3000,0.149318,1739,fsgd
2700,0.149268,1739,fsgd
2400,0.148985,1747,fsgd
3100,0.147758,1785,fsgd
2800,0.147525,1788,fsgd
3700,0.147408,1791,fsgd
3700,0.147439,1790,fsgd
3400,0.147391,1791,fsgd
2200,0.147283,1792,fsgd
2700,0.147232,1792,fsgd
2500,0.147161,1795,fsgd
3200,0.145991,1833,fsgd
3500,0.145933,1833,fsgd
3800,0.1457,1842,fsgd
3800,0.145705,1842,fsgd
2500,0.145719,1840,fsgd
2300,0.145709,1841,fsgd
2900,0.145664,1843,fsgd
2800,0.145623,1845,fsgd
2600,0.145573,1853,fsgd
3600,0.144327,1892,fsgd
3900,0.1443,1892,fsgd
3900,0.144207,1894,fsgd
3000,0.144275,1892,fsgd
2400,0.144308,1891,fsgd
3300,0.144002,1902,fsgd
2900,0.144186,1893,fsgd
2900,0.143993,1895,fsgd
3700,0.142593,1942,fsgd
4000,0.142418,1946,fsgd
4000,0.142446,1945,fsgd
3400,0.142406,1946,fsgd
2700,0.142394,1947,fsgd
2500,0.14233,1943,fsgd
2600,0.142176,1947,fsgd
4100,0.141149,1983,fsgd
3800,0.141029,1986,fsgd
3500,0.140887,1990,fsgd
3000,0.14107,1982,fsgd
4100,0.140864,1991,fsgd
2800,0.140657,1991,fsgd
3100,0.140625,1987,fsgd
4200,0.139642,2029,fsgd
3600,0.139297,2036,fsgd
4200,0.139447,2030,fsgd
3900,0.139293,2034,fsgd
3100,0.13946,2028,fsgd
3000,0.139258,2035,fsgd
2600,0.139177,2036,fsgd
4300,0.138232,2073,fsgd
4000,0.138145,2075,fsgd
3200,0.138052,2078,fsgd
4300,0.137925,2083,fsgd
3700,0.137968,2081,fsgd
2900,0.137697,2082,fsgd
2700,0.137765,2081,fsgd
3100,0.137622,2084,fsgd
4100,0.136761,2120,fsgd
4400,0.136793,2119,fsgd
3800,0.136769,2120,fsgd
4400,0.136517,2129,fsgd
3200,0.136692,2122,fsgd
2700,0.136388,2129,fsgd
3000,0.136311,2130,fsgd
4500,0.135341,2164,fsgd
4200,0.135316,2165,fsgd
4500,0.13528,2168,fsgd
3900,0.135275,2169,fsgd
3300,0.135247,2163,fsgd
3300,0.135088,2166,fsgd
3200,0.135129,2164,fsgd
2800,0.134817,2174,fsgd
3100,0.133707,2211,fsgd
4600,0.133773,2208,fsgd
4300,0.133736,2209,fsgd
4000,0.133678,2213,fsgd
4600,0.133689,2212,fsgd
3400,0.133631,2212,fsgd
3300,0.13362,2218,fsgd
3400,0.133624,2217,fsgd
4700,0.132294,2258,fsgd
4100,0.13221,2259,fsgd
3200,0.1324,2255,fsgd
2800,0.132574,2252,fsgd
2900,0.132274,2257,fsgd
3500,0.131223,2282,fsgd
4400,0.130849,2290,fsgd
3500,0.131006,2282,fsgd
3400,0.131051,2284,fsgd
4800,0.129994,2312,fsgd
4700,0.129901,2313,fsgd
4200,0.129645,2320,fsgd
3300,0.129757,2315,fsgd
3000,0.129682,2317,fsgd
3600,0.129644,2320,fsgd
4900,0.128787,2347,fsgd
4800,0.128603,2353,fsgd
4500,0.128581,2354,fsgd
3500,0.128409,2355,fsgd
2900,0.128449,2354,fsgd
5000,0.127666,2383,fsgd
4300,0.127652,2384,fsgd
3400,0.127561,2385,fsgd
4600,0.127466,2392,fsgd
4900,0.127463,2391,fsgd
3700,0.127313,2390,fsgd
3600,0.127235,2392,fsgd
4700,0.126377,2430,fsgd
5000,0.126325,2431,fsgd
5100,0.126267,2432,fsgd
4400,0.126231,2434,fsgd
3600,0.126316,2430,fsgd
3000,0.126191,2434,fsgd
3100,0.125986,2434,fsgd
5200,0.125255,2473,fsgd
4500,0.125241,2474,fsgd
4800,0.125044,2481,fsgd
5100,0.125019,2482,fsgd
3500,0.124954,2480,fsgd
3700,0.12494,2479,fsgd
3700,0.124933,2480,fsgd
4900,0.123969,2522,fsgd
5300,0.123895,2524,fsgd
5200,0.123915,2523,fsgd
4600,0.123871,2525,fsgd
3200,0.12384,2524,fsgd
3800,0.123821,2530,fsgd
3800,0.123887,2520,fsgd
3600,0.12379,2529,fsgd
5000,0.12282,2568,fsgd
5400,0.122704,2572,fsgd
5300,0.122609,2573,fsgd
3800,0.122509,2576,fsgd
3100,0.122495,2568,fsgd
3900,0.121694,2604,fsgd
5100,0.12162,2606,fsgd
4700,0.121597,2607,fsgd
3700,0.121755,2602,fsgd
3900,0.121607,2602,fsgd
5400,0.120824,2635,fsgd
5500,0.120652,2642,fsgd
5200,0.120589,2646,fsgd
4800,0.120557,2647,fsgd
3900,0.120565,2642,fsgd
4000,0.120537,2646,fsgd
3800,0.120527,2648,fsgd
3200,0.120524,2647,fsgd
4900,0.119781,2688,fsgd
5500,0.119548,2697,fsgd
5600,0.119592,2693,fsgd
4100,0.119369,2695,fsgd
4000,0.119498,2693,fsgd
4000,0.119522,2693,fsgd
3900,0.119316,2696,fsgd
3300,0.119356,2694,fsgd
5700,0.118535,2732,fsgd
5300,0.118341,2738,fsgd
