Iteration,RMSE,Time,method
2100,1.05665,1143,dsgd
1500,1.0625,1134,dsgd
2700,1.05282,1152,dsgd
2500,1.04844,1162,dsgd
2700,1.04447,1172,dsgd
1700,1.04535,1155,dsgd
2600,1.03619,1185,dsgd
2200,1.02677,1194,dsgd
2600,1.01972,1201,dsgd
2800,1.02031,1197,dsgd
2200,1.03049,1188,dsgd
2200,1.02273,1196,dsgd
1600,1.01443,1197,dsgd
2800,1.0131,1214,dsgd
2700,1.00735,1227,dsgd
1800,1.00911,1219,dsgd
1400,1.05333,1130,dsgd
2700,1.00144,1240,dsgd
2900,0.99586,1241,dsgd
2300,0.994788,1243,dsgd
2800,0.983889,1265,dsgd
1700,0.986356,1252,dsgd
2300,0.994985,1239,dsgd
2900,0.982614,1255,dsgd
2300,0.987083,1246,dsgd
2800,0.965106,1281,dsgd
3000,0.963181,1284,dsgd
2900,0.952706,1304,dsgd
1900,0.976369,1268,dsgd
2900,0.941707,1317,dsgd
3100,0.941172,1339,dsgd
2400,0.94446,1306,dsgd
3000,0.942492,1309,dsgd
2400,0.949203,1301,dsgd
3000,0.937725,1365,dsgd
1500,0.948834,1278,dsgd
2400,0.938242,1309,dsgd
3000,0.932814,1382,dsgd
3200,0.932446,1384,dsgd
3100,0.929863,1392,dsgd
2500,0.930548,1390,dsgd
3100,0.921177,1411,dsgd
1800,0.942216,1304,dsgd
2500,0.913108,1425,dsgd
3300,0.911777,1430,dsgd
2500,0.914993,1417,dsgd
3100,0.91193,1429,dsgd
3200,0.910498,1435,dsgd
3200,0.903542,1450,dsgd
2600,0.903106,1440,dsgd
2000,0.92775,1378,dsgd
1900,0.897474,1454,dsgd
3200,0.891012,1477,dsgd
3400,0.892321,1472,dsgd
3300,0.890353,1480,dsgd
2600,0.891484,1476,dsgd
3300,0.889972,1490,dsgd
2600,0.892029,1469,dsgd
3500,0.875462,1524,dsgd
3400,0.873726,1530,dsgd
3300,0.876048,1524,dsgd
3400,0.875353,1525,dsgd
2700,0.878889,1507,dsgd
2700,0.871337,1534,dsgd
2700,0.874509,1527,dsgd
2100,0.875113,1507,dsgd
1600,0.893792,1412,dsgd
3500,0.865058,1569,dsgd
3400,0.864706,1571,dsgd
3600,0.865316,1567,dsgd
3500,0.863527,1576,dsgd
2800,0.862342,1576,dsgd
2800,0.85846,1588,dsgd
2800,0.860149,1587,dsgd
3600,0.844488,1607,dsgd
3700,0.843421,1617,dsgd
3500,0.84409,1610,dsgd
3600,0.843421,1617,dsgd
2900,0.840376,1636,dsgd
2900,0.840547,1636,dsgd
2000,0.867534,1516,dsgd
2900,0.83798,1637,dsgd
3700,0.836176,1653,dsgd
3600,0.835553,1660,dsgd
3800,0.835816,1657,dsgd
3700,0.835283,1669,dsgd
2200,0.848629,1602,dsgd
3000,0.829388,1676,dsgd
3000,0.825999,1682,dsgd
3800,0.821807,1694,dsgd
3000,0.822828,1686,dsgd
3700,0.821376,1699,dsgd
3800,0.819828,1708,dsgd
3900,0.820251,1699,dsgd
3900,0.814831,1736,dsgd
3100,0.817014,1717,dsgd
3800,0.813545,1738,dsgd
1700,0.837785,1602,dsgd
3100,0.81544,1733,dsgd
3100,0.813127,1737,dsgd
2100,0.82079,1690,dsgd
4000,0.810728,1755,dsgd
3900,0.810688,1753,dsgd
2300,0.816783,1713,dsgd
3900,0.803321,1774,dsgd
4000,0.804703,1772,dsgd
3200,0.795726,1779,dsgd
3200,0.793326,1785,dsgd
3200,0.794432,1783,dsgd
4000,0.79002,1807,dsgd
4100,0.790203,1806,dsgd
4000,0.788744,1815,dsgd
4100,0.78714,1818,dsgd
1800,0.795327,1776,dsgd
4100,0.783347,1854,dsgd
3300,0.785109,1844,dsgd
4200,0.783083,1856,dsgd
3300,0.784956,1845,dsgd
3300,0.784161,1847,dsgd
4100,0.78016,1865,dsgd
4200,0.77556,1870,dsgd
2200,0.786925,1785,dsgd
2400,0.78714,1817,dsgd
4300,0.76915,1894,dsgd
4200,0.770202,1892,dsgd
1900,0.770884,1872,dsgd
3400,0.76917,1893,dsgd
3400,0.768009,1897,dsgd
3400,0.767931,1897,dsgd
4200,0.763515,1910,dsgd
4400,0.756643,1934,dsgd
4300,0.754744,1934,dsgd
4300,0.762816,1922,dsgd
3500,0.752245,1942,dsgd
3500,0.752558,1940,dsgd
2300,0.759199,1925,dsgd
3500,0.751509,1940,dsgd
2000,0.753213,1935,dsgd
2500,0.757381,1930,dsgd
4500,0.748042,1970,dsgd
4300,0.748253,1962,dsgd
4400,0.747749,1972,dsgd
3600,0.745321,1981,dsgd
4400,0.745448,1973,dsgd
3600,0.73815,1989,dsgd
3600,0.740561,1983,dsgd
4600,0.732337,2009,dsgd
2400,0.736703,1988,dsgd
4500,0.731766,2016,dsgd
3700,0.731264,2021,dsgd
2100,0.733677,1996,dsgd
2600,0.733102,1997,dsgd
4400,0.730559,2011,dsgd
3700,0.725506,2036,dsgd
4500,0.728437,2029,dsgd
4700,0.72407,2047,dsgd
4600,0.721873,2053,dsgd
3800,0.718609,2058,dsgd
3700,0.725277,2035,dsgd
2500,0.72351,2047,dsgd
4500,0.715363,2063,dsgd
2200,0.716428,2059,dsgd
4800,0.714582,2082,dsgd
4700,0.712473,2089,dsgd
3800,0.714953,2079,dsgd
2700,0.715612,2059,dsgd
4600,0.713113,2081,dsgd
3900,0.710371,2095,dsgd
3800,0.708054,2096,dsgd
2600,0.707426,2096,dsgd
4900,0.702803,2118,dsgd
4800,0.7026,2124,dsgd
4600,0.704277,2114,dsgd
4000,0.700838,2135,dsgd
4700,0.700445,2135,dsgd
2300,0.702966,2117,dsgd
2800,0.700882,2127,dsgd
3900,0.696989,2146,dsgd
3900,0.701532,2126,dsgd
5000,0.692909,2161,dsgd
4900,0.692519,2165,dsgd
2700,0.693474,2153,dsgd
4700,0.692422,2166,dsgd
4800,0.689173,2180,dsgd
4000,0.685347,2185,dsgd
4100,0.689452,2179,dsgd
4000,0.685335,2186,dsgd
2400,0.687319,2184,dsgd
2900,0.685061,2185,dsgd
5000,0.6828,2205,dsgd
5100,0.682372,2205,dsgd
4800,0.680523,2214,dsgd
4100,0.676909,2231,dsgd
4900,0.677648,2229,dsgd
2800,0.68028,2209,dsgd
4100,0.676956,2230,dsgd
4200,0.676877,2230,dsgd
5100,0.674057,2247,dsgd
5200,0.673736,2250,dsgd
2500,0.675122,2232,dsgd
4900,0.673363,2263,dsgd
4200,0.671545,2269,dsgd
3000,0.673567,2247,dsgd
5000,0.670426,2274,dsgd
4300,0.668201,2281,dsgd
2900,0.668743,2277,dsgd
5200,0.666916,2287,dsgd
5300,0.666608,2289,dsgd
4200,0.667967,2278,dsgd
5000,0.663907,2298,dsgd
4300,0.663488,2304,dsgd
4400,0.659953,2319,dsgd
5100,0.660918,2311,dsgd
2600,0.662006,2297,dsgd
5300,0.65929,2327,dsgd
3000,0.659539,2319,dsgd
5400,0.659108,2330,dsgd
4400,0.6579,2339,dsgd
5100,0.657886,2338,dsgd
4300,0.657998,2336,dsgd
3100,0.660843,2307,dsgd
5200,0.655362,2355,dsgd
4500,0.654829,2354,dsgd
5400,0.652041,2366,dsgd
5500,0.650847,2373,dsgd
4500,0.650575,2377,dsgd
4400,0.649507,2382,dsgd
2700,0.651587,2362,dsgd
5200,0.649706,2381,dsgd
3100,0.65087,2373,dsgd
5300,0.648199,2396,dsgd
4600,0.648014,2400,dsgd
5500,0.647912,2402,dsgd
5600,0.64778,2410,dsgd
3200,0.648082,2393,dsgd
4600,0.643124,2414,dsgd
4500,0.643087,2419,dsgd
5300,0.6404,2425,dsgd
5400,0.639591,2435,dsgd
5600,0.639242,2445,dsgd
3200,0.639723,2425,dsgd
4700,0.639345,2444,dsgd
5700,0.639104,2449,dsgd
2800,0.640187,2424,dsgd
5400,0.636318,2466,dsgd
4700,0.636809,2461,dsgd
4600,0.636497,2463,dsgd
3300,0.637602,2452,dsgd
5500,0.634483,2477,dsgd
5700,0.63431,2480,dsgd
4800,0.633295,2482,dsgd
5800,0.633167,2484,dsgd
5500,0.630121,2506,dsgd
5600,0.628967,2519,dsgd
5900,0.628295,2522,dsgd
5800,0.628615,2520,dsgd
