num_assets,single_threaded,multi_threaded,speedup
10,137,23,5.95652
20,353,77,4.58442
30,681,88,7.73864
40,1118,143,7.81818
50,1647,206,7.99515
60,2280,277,8.23105
70,3018,364,8.29121
80,3881,484,8.0186
90,4857,696,6.97845
100,5918,718,8.24234
